text,annotations
acer wants $ 170 to just look at it then add the repair cost on top of that .,"[('acer', 'support price', 'neutral', 'null')]"
update : i repaired it myself for $ 12 .,"[('null', 'laptop general', 'neutral', 'null')]"
i had nothing to lose since it was a paper weight otherwise .,"[('null', 'laptop general', 'negative', 'null')]"
the shame of it is knowing it took me 15 minutes and $ 12 to fix it and acer wanted to rob me of $ 170 just to look at it .,"[('acer', 'support general', 'negative', 'null')]"
"first one that they shipped was obviously defective , super slow and speakers were garbled .","[('null', 'shipping general', 'negative', 'defective')]"
"the replacement i got was much better , but still too slow for my expectations .","[('replacement', 'laptop quality', 'negative', 'slow')]"
i wound up returning it .,"[('null', 'laptop general', 'negative', 'null')]"
this works fine for that .,"[('null', 'laptop quality', 'positive', 'fine')]"
"october 12 , 2017 - - started having trouble maintaining connection to wifi ( spectrum service ) , but usually after several loops re - entering password , connection would be re - established .","[('wifi', 'ports quality', 'negative', 'trouble')]"
"sometimes had to do several times , but thought it might be an idiosyncrady of this model .","[('model', 'hardware general', 'negative', 'null')]"
now i ' m really bummed that i have a very nice looking chromebook with a beautiful screen that is totally unusable .,"[('chromebook', 'laptop design features', 'positive', 'nice')]"
i just got this thing today & was really excited about it but this has been frustrating & disappointing .,"[('null', 'laptop general', 'negative', 'frustrating')]"
i ' ll wait a while until this device gets 4 - 5 stars .,"[('device', 'laptop operation performance', 'neutral', 'null')]"
there are certain very basic tasks that this computer can do .,"[('computer', 'laptop general', 'negative', 'null')]"
"a lot of websites don ' t work properly with the chromebook , even though you ' re using the same browser .","[('chromebook', 'laptop general', 'negative', 'null')]"
"overall , this thing can do very basic stuff , sometimes .","[('null', 'laptop general', 'neutral', 'null')]"
"pro : light , reasonable price , fast .","[('null', 'laptop design features', 'positive', 'light')]"
keyboard key fragile .,"[('keyboard', 'keyboard quality', 'negative', 'fragile')]"
after 6 months my eyboard key is not function very well .,"[('eyboard key', 'keyboard operation performance', 'negative', 'null')]"
"i only use the chormebook for surving the internet , checking my email , and watch hulu or netflix .","[('chormebook', 'laptop general', 'neutral', 'null')]"
this is something to reconsidered if one to buy the chromebook for doing homework and a lot of typing .,"[('chromebook', 'laptop general', 'neutral', 'null')]"
"up date per may 13 / 2018 about two months ago , the charger wont work .","[('charger', 'power supply quality', 'negative', 'null')]"
so latest update the charger only last about one year and the half .,"[('charger', 'power supply general', 'negative', 'null')]"
"overall , it is not horrible , but i wouldn ' t purchase this model again .","[('model', 'laptop general', 'negative', 'not horrible')]"
- long battery life,"[('battery life', 'battery quality', 'positive', 'long')]"
- charges quickly,"[('null', 'power supply operation performance', 'positive', 'quickly')]"
- screen feels smaller than other of the same size .,"[('screen', 'display design features', 'negative', 'smaller')]"
it gets two stars because it is a nice light weight and the folding is nice .,"[('null', 'laptop portability', 'positive', 'nice')]"
two replacements had the same problem all in 4 weeks .,"[('replacements', 'laptop general', 'negative', 'null')]"
i already returned the first laptop because i had to press extremely hard to get the left click to work .,"[('laptop', 'laptop general', 'negative', 'null')]"
"i ' ve had the device for 4 days now , and it has a number of big issues .","[('device', 'laptop general', 'negative', 'null')]"
"next , is that the track pad is insanely wobbly .","[('track pad', 'hardware operation performance', 'negative', 'wobbly')]"
one of the worst offenders is the battery life .,"[('battery life', 'battery quality', 'negative', 'worst')]"
it also refuses to charge past 90 % and instantly jumps to 80 % when i unplug it .,"[('null', 'laptop operation performance', 'negative', 'null')]"
"there are issues beyond these , but it ' s all software related so i will let it be .","[('software', 'software general', 'negative', 'null')]"
"within two days of receiving this item a line appeared on my screen ( while i was using it , previously fine ) and below it the image / screen flickered .","[('screen', 'display operation performance', 'negative', 'null')]"
"the flip and touchscreen aspects work fine , no problems .","[('flip', 'hardware operation performance', 'positive', 'fine')]"
it can not .,"[('null', 'laptop general', 'negative', 'null')]"
"screen looks good , it has a good battery life , keypad has some nice feedback , the works .","[('screen', 'display design features', 'positive', 'good')]"
but you can ' t use an acer chromebook r 11 this way .,"[('acer chromebook r 11', 'laptop general', 'negative', 'null')]"
and the chromebook does not go to sleep or otherwise shut off .,"[('chromebook', 'laptop operation performance', 'negative', 'null')]"
loved it for an hour than it went black and we got a chrome os missing or damage message .,"[('chrome os', 'os quality', 'negative', 'null')]"
terrible product and worse customer service - - do not buy,"[('product', 'laptop general', 'negative', 'terrible')]"
we ordered this chromebook for my son to use for school .,"[('chromebook', 'laptop general', 'neutral', 'null')]"
"we received it in august , and it worked fine for just 5 months and then the touch screen stopped working .","[('null', 'laptop operation performance', 'neutral', 'fine')]"
"it worked properly for less than a week , and the touch screen stopped functioning again .","[('null', 'laptop operation performance', 'negative', 'null')]"
"we contacted both acer and amazon , and they both informed us that it has to be sent back for repairs again .","[('acer', 'support general', 'neutral', 'null')]"
good display,"[('display', 'display general', 'positive', 'good')]"
good battery life,"[('battery life', 'battery quality', 'positive', 'good')]"
no fans and stays reasonably cool unless you are playing a game .,"[('fans', 'fans cooling general', 'negative', 'null')]"
"build quality seems ok , keyboard is not flimsy or too firm .","[('build quality', 'laptop quality', 'positive', 'ok')]"
my understanding is that chromeos is a very light weight so i don ' t know why it lags sometimes with under 10 tabs open and a youtube video playing .,"[('chromeos', 'os operation performance', 'positive', 'light')]"
i needed a small chromebook for light web use while traveling and this tablet does ok but considering the price i would have expected a better processor and keyboard lighting .,"[('processor', 'cpu price', 'negative', 'null')]"
"my main complaint is the battery life , i see many positive reviews about the battery life .","[('battery life', 'battery general', 'negative', 'complaint')]"
i just find the battery draining to quickly in my opinion .,"[('battery', 'battery operation performance', 'negative', 'null')]"
i tried messing around in the dev mode to adjust the microphone sensitivity but nothing seems to work .,"[('microphone', 'multimedia devices general', 'negative', 'null')]"
"plug - in or usb microphones seem to work fine , so it ' s not a terribly big issue and i don ' t really even use a microphone that often , but it ' s annoying to buy a product and not have it working .","[('product', 'laptop general', 'negative', 'annoying')]"
the broken mic was not a dealbreaker but annoying in a brand new device .,"[('mic', 'multimedia devices general', 'negative', 'annoying')]"
"in addition , in my short time using the device , i realized how much i dislike having fingerprints on my computer screen .","[('fingerprints', 'out of scope general', 'negative', 'dislike')]"
good looking laptop but hardware has several major problems .,"[('laptop', 'laptop design features', 'positive', 'good looking')]"
microphone is not really working ( you have to basically yell while alsmost touching it with you lips in order for someone else to hear you ) .,"[('microphone', 'multimedia devices operation performance', 'negative', 'null')]"
when switching between tablet and laptop mode quickly the screen will blink and turn off for an extended period of time before turning back on .,"[('screen', 'display operation performance', 'negative', 'null')]"
"called acer support , they were completely useless .","[('acer support', 'support general', 'negative', 'useless')]"
keeps disconnecting from my wifi at work .,"[('wifi', 'ports operation performance', 'negative', 'null')]"
it was nice when it was working .,"[('null', 'laptop general', 'positive', 'nice')]"
"i ' ve called twice to try to connect it to printer , first call they told me i had to get a cloud ready printer after getting said printer it still doesn ' t connect .","[('null', 'laptop connectivity', 'negative', 'null')]"
very disappointed in this machine .,"[('machine', 'laptop general', 'negative', 'disappointed')]"
i typically love acers ( i have a regular laptop ) but this machine has been a nightmare .,"[('machine', 'laptop general', 'negative', 'nightmare')]"
issue summary : frequent crashing,"[('null', 'laptop operation performance', 'negative', 'crashing')]"
"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk","[('hd touch', 'hardware general', 'neutral', 'null')]"
"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk","[('4gb', 'memory general', 'neutral', 'null')]"
it frequently crashes by displaying a bizarre screen displaying a large number of short horizontal lines and making a loud alarm noise .,"[('screen', 'display operation performance', 'negative', 'crashes')]"
this issue happens more frequently when using netflix ( app or through chrome browser ) .,"[('happens', 'software general', 'negative', 'null')]"
"however it can happen at random , for example when signing into gmail .","[('null', 'laptop general', 'negative', 'null')]"
"it ' s okay for email , facebook , surfing the net , etc .","[('email', 'software general', 'neutral', 'okay')]"
"so , this one isn ' t working out very well for my needs .","[('null', 'laptop general', 'negative', ""' t working out very well"")]"
i hope it is fixed this time .,"[('null', 'laptop general', 'negative', 'null')]"
the other is excellent !,"[('null', 'laptop general', 'positive', 'excellent')]"
"has lots of issues , screen freezing , i was hoping to use it for banking etc .","[('screen', 'display quality', 'negative', 'null')]"
it feels like a tablet / computer for a child since it ' s so bulky and heavy .,"[('tablet', 'laptop general', 'negative', 'bulky')]"
the mousepad was not very responsive .,"[('mousepad', 'hardware quality', 'negative', 'not very responsive')]"
i really think it ' s junk .,"[('null', 'laptop general', 'negative', 'junk')]"
"runs good , poor battery life .","[('null', 'laptop operation performance', 'positive', 'good')]"
"this one is horrible , never can connect .","[('null', 'laptop operation performance', 'negative', 'horrible')]"
"after years of using amazon for hundreds of orders , this is my very first negative review :","[('amazon', 'company general', 'negative', 'negative')]"
i was very excited at the prospect of buying this laptop .,"[('laptop', 'laptop general', 'positive', 'excited')]"
i was very impressed with its sleek design and the speed of the processor itself .,"[('design', 'laptop design features', 'positive', 'impressed')]"
"a few hours of use later , i noticed that my battery was very low , around 10 % .","[('battery', 'battery operation performance', 'negative', 'low')]"
"i even tried reinstalling the drivers and doing a system restore , nothing would fix it .","[('null', 'laptop general', 'negative', 'null')]"
i contacted asus and they could do nothing .,"[('asus', 'company general', 'negative', 'null')]"
i was so glad that the problem would finally be fixed .,"[('null', 'power supply general', 'positive', 'glad')]"
"to my great dismay and disappointment , the power icon read the exact same message : ` ` plugged in , not charging ` ` .","[('power icon', 'software operation performance', 'negative', 'dismay')]"
this was the second vivobook in a row !,"[('vivobook', 'laptop quality', 'negative', 'null')]"
