text,annotations
"judging from previous posts this used to be a good place , but not any longer .","[('place', 'restaurant general', 'negative', 'not any longer')]"
"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .","[('staff', 'service general', 'negative', 'rude')]"
"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .","[('null', 'service general', 'negative', 'null')]"
the food was lousy - too sweet or too salty and the portions tiny .,"[('food', 'food quality', 'negative', 'lousy')]"
"after all that , they complained to me about the small tip .","[('null', 'service general', 'negative', 'complained')]"
avoid this place !,"[('place', 'restaurant general', 'negative', 'avoid')]"
"i have eaten at saul , many times , the food is always consistently , outrageously good .","[('food', 'food quality', 'positive', 'outrageously good')]"
saul is the best restaurant on smith street and in brooklyn .,"[('saul', 'restaurant general', 'positive', 'best')]"
the duck confit is always amazing and the foie gras terrine with figs was out of this world .,"[('foie gras terrine with figs', 'food quality', 'positive', 'out of this world')]"
the wine list is interesting and has many good values .,"[('wine list', 'drinks style options', 'positive', 'interesting')]"
"for the price , you can not eat this well in manhattan .","[('null', 'restaurant prices', 'positive', 'well')]"
i was very disappointed with this restaurant .,"[('restaurant', 'restaurant general', 'negative', 'disappointed')]"
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,"[('cart attendant', 'service general', 'negative', 'null')]"
i had to ask her three times before she finally came back with the dish ive requested .,"[('null', 'service general', 'negative', 'null')]"
"food was okay , nothing great .","[('food', 'food quality', 'neutral', 'okay')]"
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,"[('chow fun', 'food quality', 'negative', 'dry')]"
i / we will never go back to this place again .,"[('place', 'restaurant general', 'negative', 'never go back')]"
"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !","[('fish', 'restaurant general', 'positive', 'great')]"
"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !","[('service', 'service general', 'positive', 'devine')]"
you ca n ' t go wrong here .,"[('null', 'restaurant general', 'positive', 'null')]"
every time in new york i make it a point to visit restaurant saul on smith street .,"[('restaurant saul', 'restaurant general', 'positive', 'null')]"
"everything is always cooked to perfection , the service is excellent , the decor cool and understated .","[('service', 'service general', 'positive', 'excellent')]"
i had the duck breast special on my last visit and it was incredible .,"[('duck breast special', 'food quality', 'positive', 'incredible')]"
and i hate to say this but i doubt i ' ll ever go back .,"[('null', 'restaurant general', 'negative', 'doubt')]"
"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .","[('food', 'food quality', 'negative', 'average')]"
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,"[('grilled chicken special with edamame puree', 'food quality', 'positive', 'enjoyed')]"
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .,"[('edamame pureed', 'food quality', 'positive', 'tasty')]"
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .","[('place', 'ambience general', 'negative', 'sleek')]"
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !,"[('service', 'service general', 'positive', 'great')]"
the perfect spot .,"[('spot', 'restaurant general', 'positive', 'perfect')]"
food - awesome .,"[('food', 'food quality', 'neutral', 'awesome')]"
service - friendly and attentive .,"[('service', 'service general', 'positive', 'friendly')]"
ambiance - relaxed and stylish .,"[('ambiance', 'ambience general', 'positive', 'relaxed')]"
"do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .","[('place', 'restaurant general', 'positive', 'null')]"
the food is decent .,"[('food', 'food quality', 'neutral', 'decent')]"
"however , it ' s the service that leaves a bad taste in my mouth .","[('service', 'service general', 'negative', 'bad taste')]"
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .","[('waiter', 'service general', 'negative', 'bad')]"
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .","[('null', 'service general', 'negative', 'null')]"
"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .","[('null', 'restaurant general', 'negative', 'null')]"
the last time i walked by it looked pretty empty . hmmm .,"[('null', 'restaurant miscellaneous', 'negative', 'empty')]"
i had a great experience .,"[('null', 'restaurant general', 'positive', 'great')]"
food is great .,"[('food', 'food quality', 'positive', 'great')]"
service is top notch .,"[('service', 'service general', 'positive', 'top notch')]"
i have been going back again and again .,"[('null', 'restaurant general', 'positive', 'null')]"
"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .","[('null', 'food quality', 'positive', 'perfect consistency')]"
the sushi seemed pretty fresh and was adequately proportioned .,"[('sushi', 'food quality', 'positive', 'fresh')]"
the rice to fish ration was also good - - they did n ' t try to overpack the rice .,"[('rice to fish ration', 'food style options', 'positive', 'good')]"
we took advanatage of the half price sushi deal on saturday so it was well worth it .,"[('half price sushi deal', 'food quality', 'positive', 'worth')]"
surprisingly nothing could be further from the truth .,"[('null', 'restaurant miscellaneous', 'positive', 'surprisingly')]"
"in the evening , this place attracted a well dressed , with it , ny crowd .","[('crowd', 'restaurant miscellaneous', 'positive', 'attracted')]"
the food was well prepared and the service impecable .,"[('food', 'food quality', 'positive', 'well prepared')]"
i ' m going back .,"[('null', 'restaurant general', 'positive', 'null')]"
quite simply it ' s like stepping out of manhattan and into a haven of tranquility .,"[('null', 'ambience general', 'positive', 'tranquility')]"
i will be going back and heartily recommend it !,"[('null', 'restaurant general', 'positive', 'recommend')]"
"it is terrific , as is the value .","[('null', 'food quality', 'positive', 'terrific')]"
"$ 6 and there is much tasty food , all of it fresh and continually refilled .","[('food', 'food style options', 'positive', 'refilled')]"
"i am not a vegetarian but , almost all the dishes were great .","[('dishes', 'food quality', 'positive', 'great')]"
go hungry and enjoy .,"[('null', 'restaurant general', 'positive', 'enjoy')]"
"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .","[('somosas', 'food quality', 'positive', 'like')]"
"the service varys from day to day - sometimes they ' re very nice , and sometimes not .","[('service', 'service general', 'negative', 'varys')]"
"the kitchen however , is almost always slow .","[('kitchen', 'service general', 'negative', 'slow')]"
if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .,"[('view', 'location general', 'positive', 'null')]"
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,"[('service', 'service general', 'positive', 'great')]"
the lava cake dessert was incredible and i recommend it .,"[('lava cake dessert', 'food quality', 'positive', 'incredible')]"
"once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .","[('cosette', 'ambience general', 'positive', 'off - the - beaten')]"
"this tiny restaurant is as cozy as it gets , with that certain parisian flair .","[('restaurant', 'ambience general', 'positive', 'tiny')]"
"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .","[('food', 'food quality', 'positive', 'average to above - average')]"
"however , go for the ambience , and consider the food just a companion for a trip across the world !","[('ambience', 'ambience general', 'negative', 'null')]"
the pizza was delivered cold and the cheese was n ' t even fully melted !,"[('pizza', 'food quality', 'negative', 'cold')]"
it looked like shredded cheese partly done - still in strips .,"[('null', 'food quality', 'negative', 'null')]"
this has got to be one of the most overrated restaurants in brooklyn .,"[('null', 'restaurant general', 'negative', 'overrated')]"
the pizza is overpriced and soggy .,"[('pizza', 'food quality', 'negative', 'soggy')]"
"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .","[('ingredients', 'food quality', 'positive', 'fancy')]"
"a big disappointment , all around .","[('null', 'restaurant general', 'negative', 'disappointment')]"
i think i ' ve had some the best meals of my life at minnow .,"[('meals', 'food quality', 'positive', 'best')]"
"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .","[('seafood', 'food quality', 'positive', 'amazing')]"
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,"[('ingredients', 'food quality', 'positive', 'super - fresh')]"
worth the trip from manhattan .,"[('null', 'restaurant general', 'positive', 'worth')]"
best pastrami i ever had and great portion without being ridiculous .,"[('pastrami', 'food quality', 'positive', 'best')]"
